sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
CR-30,201434,-0.3707899641381474,0.17859366085771416,-0.030272606098235844,0.1373399490515028,-0.044519705740106094,0.007703418571151386,0.012473526580265386,-0.005247471674846283,0.005382984065842382,-0.0010703513603007324,0.003659746097609399,-0.0002474533708278608,-0.0,0.0,0.0
CR-32,201436,-0.09252009313675662,-0.13729582065555732,-0.028873302495715132,0.021789936840093463,0.01563660222414385,-0.037892835220094734,-0.05868642373517288,-0.014573375515656326,-0.006875754413644263,-0.037334663124213636,0.019736343867906594,0.004673450783772023,-0.0,0.0,0.0
CR-57,201454,-0.007288161216775666,-0.08891641825185419,0.036814901670504135,-0.02667474314023882,-0.1156130300001809,0.016871908802580278,-0.03606884014955573,0.0018161097928205531,0.02890539310514545,0.021349210672843545,-0.0073358067483003464,0.0028488246835501373,-0.0,0.0,0.0
Tri-10,201575,0.06156587448716654,-0.019298551717858943,-0.09440476153715155,-0.004893366369849116,0.0174278092279708,-0.04421037954664178,-0.0017279948515021306,-0.032751612088716325,0.001006106398453969,0.016336674274599783,0.0013423534854853719,-0.0019244030364952073,-0.0,0.0,0.0
Tri-18,201583,-0.13089469660080003,-0.10805892796681381,0.005097300020167962,0.004901878769551859,0.03408904711584946,-0.034013368911330985,0.051190679299565243,-0.013672915301116043,-0.024502712205117367,0.011406319738237606,-0.01725557103417865,0.010884003233056938,-0.0,0.0,0.0
Tri-20,201585,0.14297994264563843,0.13561885959411715,-0.09499472390783559,-0.034899679378448185,0.02250099088019946,0.06385548237805208,-0.010648618967013114,-0.04046625461067141,-0.01518666140855676,0.01412100997128601,0.021194907993087896,-0.0008367787994018707,-0.0,0.0,0.0
Tri-51,201605,0.04361369287394889,0.0013623227081423956,-0.0077234804692158775,-0.06206953492087064,-0.03221047539927384,0.02856366283207827,0.05825521207482205,0.0418972595336916,0.00835222506631409,-0.022802270859478817,0.028634715450449297,0.0018612719586009678,-0.0,0.0,0.0
KL-025,201669,0.21935564338254215,0.17467397668699317,0.07250936915401003,0.057972237993287296,0.06537105022525869,-0.02136913645031186,-0.018093357742827876,0.022751487085847177,0.02450594900336307,-0.010952371262234858,-0.015868985292818657,0.002929119788248493,-0.0,0.0,0.0
KL-37,201674,-0.29106975738287766,0.0711194744429965,0.14138304735448867,-0.13854801571466435,0.03970252385370736,0.02672610977074281,-0.015929623555887243,-0.012093388685303571,-0.006529637574470458,-0.0023641401044216044,-0.00662920039745112,-0.0036075820747903937,-0.0,0.0,0.0
KL-704,201687,0.06301095922755494,0.049166884607913686,-0.05749951878916845,-0.07248914880840442,0.00650534024487866,-0.04220734116970237,0.008342377653226898,-0.0008248403351691989,0.03621701694018525,0.005458655378364754,-0.0026179192287432936,0.0070581930893762876,-0.0,0.0,0.0
KL-102,201749,0.14437931559756856,-0.0998004757709245,0.09248533873944868,0.08132103470428352,0.02091509563378314,0.09068122120901982,-0.008121209364621327,0.010013778028763583,-0.014812349845442423,0.012208428136839445,0.004773552367714361,0.005851760761830723,-0.0,0.0,0.0
KL-98,201757,0.018345797938025512,-0.10776577284056288,-0.10071152652183812,0.006411294719707641,0.007549855332222376,0.0663780365762878,0.014824642847026965,-0.009396550058674099,0.013290771907869122,-0.02422008921321346,-0.034496361436613054,-0.008283502241024346,-0.0,0.0,0.0
KL-105,201763,0.21684755188721275,-0.003908853821298052,0.13207589627773572,0.029334584351207785,-0.054118955417815647,-0.05757551196185826,0.02857374066224487,-0.04190036094772756,-0.011768064765628306,-0.009160119955905294,0.003687465115783869,-0.008234287064496762,-0.0,0.0,0.0
KL-121,201777,-0.09148164775042511,-0.12300419205586734,-0.0022189471938921556,0.03232435606763736,0.061550335241885905,-0.03242930674230832,-0.0002139919487966499,0.040656566613081216,0.013264476405857754,0.025344270907812484,0.016427486983926834,-0.011229260690813954,-0.0,0.0,0.0
KL-178,201802,0.07394554218612445,0.07751383418286109,-0.06366698620330306,-0.031820784164796716,-0.04478648342252258,-0.03108196013766446,-0.024170118801776167,0.05379156816367656,-0.05124974268017143,0.001679436799785577,-0.015252727223858384,-0.0017433570205846883,-0.0,0.0,0.0
proportion_explained,0,0.48796981144368706,0.20298400559635477,0.10743838923378135,0.07477055778694915,0.040298217561338695,0.03669646386537478,0.015980033357468393,0.014405344005492718,0.008493592005942747,0.005483391562923433,0.004849568088841914,0.0006306254918448537,0.0,0.0,0.0
